XKALM, YKALM, XCZYST, YCZYST
1.314, 14.298, 0.146, 12.816
0.910, 20.951, 0.935, 20.839
0.416, 21.279, -0.344, 23.862
-0.528, 14.340, -0.650, 17.037
-1.869, -2.383, -2.765, 1.059
-1.864, -7.533, -2.117, -6.129
-0.678, -22.356, 0.969, -17.972
0.164, -28.915, -0.856, -23.230
0.643, -26.728, 0.629, -24.299
1.876, -18.942, 0.626, -17.011
1.478, -13.486, 4.807, -8.778
-1.170, -0.608, -0.028, 0.348
0.123, 3.588, -2.093, 7.562
0.050, 2.038, -0.101, 2.620
0.174, -2.432, 5.565, 2.137
0.001, -4.931, -0.650, -3.793
-0.104, -2.322, -1.444, -2.387
-0.528, -1.321, 1.324, 1.735
0.636, -3.012, 0.557, 1.334
0.642, -4.363, 0.528, -6.507
0.375, -8.222, -2.378, -4.714
0.347, -10.045, -1.270, -7.700
0.643, -12.560, 0.333, -10.466
1.388, -8.955, -0.328, -8.697
0.935, -7.022, 2.279, -5.207
-1.677, -5.455, -3.840, -0.838
-1.443, -10.378, 0.821, -9.975
-0.112, -12.885, -0.459, -7.541
-1.883, -8.472, -1.483, -12.228
-1.083, -5.460, -1.697, -6.523
-0.906, 0.469, 1.399, 5.762
-1.808, 0.210, -4.395, 2.061
-2.581, -6.702, 1.458, -4.195
0.554, -11.419, 0.891, -11.531
0.837, -10.057, -4.043, -8.055
-0.845, -1.900, 3.543, -0.444
-0.924, 3.339, 3.077, 14.725
-1.555, 0.872, -1.408, 2.921
-1.470, -4.823, 7.283, -0.833
0.327, -7.812, -6.067, -8.539
-0.996, -5.292, 4.444, -6.758
-0.025, -0.024, -2.826, 3.720
-1.195, 1.109, -3.391, -4.625
-0.793, -0.548, 0.719, 2.859
-1.217, -3.927, -1.291, -2.199
-1.259, -5.963, -1.205, -5.796
-0.918, -15.327, -0.837, -12.947
-1.476, -23.470, -2.653, -19.738
-1.516, -26.177, 0.590, -22.710
-1.534, -22.892, -2.407, -19.870
-1.147, -12.512, -0.896, -13.905
-0.426, 1.841, -0.542, -1.525
-0.214, 10.074, -0.887, 10.294
-0.807, 16.931, -0.170, 12.578
-0.873, 22.443, -0.631, 19.720
-1.391, 25.374, -2.633, 22.362
-1.887, 22.677, -1.455, 22.095
-2.276, 12.394, -2.634, 13.267
-0.614, -0.332, -0.989, -4.795
1.824, -11.202, 6.104, -11.034
0.906, -18.796, -0.553, -16.425
0.812, -22.094, -0.853, -24.413
1.569, -22.081, 2.552, -21.347
2.130, -21.382, 1.876, -23.503
2.290, -20.752, 3.880, -16.779
1.307, -24.739, 2.015, -23.070
-0.462, -29.915, 0.754, -27.422
-1.502, -33.885, -2.759, -29.469
-0.988, -34.522, 0.072, -30.929
-1.151, -34.169, -1.401, -30.291
0.021, -32.979, 0.000, 19.980
3.978, -31.392, 0.000, 19.980
8.349, -29.640, 0.000, 19.980
13.078, -27.743, 0.000, 19.980
14.612, -27.128, 0.000, 19.980
18.110, -25.725, 0.000, 19.980
22.682, -23.892, 0.000, 19.980
25.697, -22.683, 0.000, 19.980
29.508, -21.155, 0.000, 19.980
32.961, -19.770, 0.000, 19.980
36.699, -18.271, 0.000, 19.980
40.090, -16.911, 0.000, 19.980
42.786, -15.830, 0.000, 19.980
45.763, -14.636, 0.000, 19.980
48.280, -13.627, 0.000, 19.980
51.569, -12.308, 0.000, 19.980
54.067, -11.306, 0.000, 19.980
55.365, -10.786, 0.000, 19.980
57.423, -9.960, 0.000, 19.980
59.875, -8.977, 0.000, 19.980
62.671, -7.856, 0.000, 19.980
65.073, -6.893, 0.000, 19.980
67.249, -6.020, 0.000, 19.980
69.348, -5.179, 0.000, 19.980
71.247, -4.417, 0.000, 19.980
72.111, -4.071, 0.000, 19.980
73.679, -3.442, 0.000, 19.980
75.661, -2.647, 0.000, 19.980
77.126, -2.060, 0.000, 19.980
79.189, -1.232, 0.000, 19.980
80.756, -0.604, 0.000, 19.980
81.570, -0.277, 0.000, 19.980
82.959, 0.279, 0.000, 19.980
84.962, 1.082, 0.000, 19.980
85.608, 1.341, 0.000, 19.980
86.692, 1.776, 0.000, 19.980
88.858, 2.644, 0.000, 19.980
89.690, 2.978, 0.000, 19.980
91.220, 3.591, 0.000, 19.980
93.134, 4.359, 0.000, 19.980
94.159, 4.770, 0.000, 19.980
95.705, 5.390, 0.000, 19.980
96.913, 5.874, 0.000, 19.980
98.261, 6.415, 0.000, 19.980
99.546, 6.930, 0.000, 19.980
100.079, 7.144, 0.000, 19.980
101.167, 7.580, 0.000, 19.980
102.209, 7.998, 0.000, 19.980
103.258, 8.419, 0.000, 19.980
104.211, 8.801, 0.000, 19.980
105.264, 9.223, 0.000, 19.980
106.398, 9.678, 0.000, 19.980
106.790, 9.835, 0.000, 19.980
107.552, 10.141, 0.000, 19.980
108.401, 10.481, 0.000, 19.980
109.324, 10.851, 0.000, 19.980
110.019, 11.130, 0.000, 19.980
110.821, 11.452, 0.000, 19.980
111.550, 11.744, 0.000, 19.980
111.838, 11.859, 0.000, 19.980
112.396, 12.083, 0.000, 19.980
113.047, 12.344, 0.000, 19.980
114.282, 12.840, 0.000, 19.980
114.866, 13.074, 0.000, 19.980
115.537, 13.343, 0.000, 19.980
116.012, 13.533, 0.000, 19.980
116.402, 13.689, 0.000, 19.980
116.837, 13.864, 0.000, 19.980
117.213, 14.015, 0.000, 19.980
117.536, 14.144, 0.000, 19.980
117.935, 14.304, 0.000, 19.980
118.247, 14.429, 0.000, 19.980
118.547, 14.550, 0.000, 19.980
118.866, 14.678, 0.000, 19.980
119.185, 14.806, 0.000, 19.980
